Index,Date_Time,Date_Time_Unix,ModManState,ModManThermalState
2116145,45618.39325,1732267577,,1
2557518,45617.37324,1732179448,2,
2557520,45617.37324,1732179448,2,
2557522,45617.37324,1732179448,,1
2557524,45617.37324,1732179448,,1
2558841,45617.37326,1732179450,2,
2558843,45617.37326,1732179450,,1
2558845,45617.37326,1732179450,2,
2558847,45617.37326,1732179450,,1
2558853,45617.37326,1732179450,2,
2558855,45617.37326,1732179450,,1
2562294,45617.37374,1732179491,1,
2562296,45617.37374,1732179491,,1
2675399,45617.48602,1732189192,2,
2675401,45617.48602,1732189192,2,
2675403,45617.48602,1732189192,,1
2675405,45617.48602,1732189192,,1
2676725,45617.48604,1732189194,2,
2676727,45617.48604,1732189194,,1
2676729,45617.48604,1732189194,2,
2676731,45617.48604,1732189194,,1
2676733,45617.48604,1732189194,2,
2676735,45617.48604,1732189194,,1
2677878,45617.48656,1732189239,1,
2677880,45617.48656,1732189239,,1
2981342,45618.39274,1732267533,2,
2981344,45618.39274,1732267533,2,
2981346,45618.39274,1732267533,,1
2981348,45618.39274,1732267533,,1
2982680,45618.39276,1732267535,2,
2982682,45618.39276,1732267535,,1
2982742,45618.39276,1732267535,2,
2982744,45618.39276,1732267535,,1
2982746,45618.39276,1732267535,2,
2982748,45618.39276,1732267535,,1
2983884,45618.39325,1732267577,1,
2983886,45618.39325,1732267577,,1
3096653,45618.57385,1732283181,2,
3096655,45618.57385,1732283181,2,
3096657,45618.57385,1732283181,,1
3096659,45618.57385,1732283181,,1
3097984,45618.57387,1732283183,2,
3097986,45618.57387,1732283183,,1
3097988,45618.57387,1732283183,2,
3097990,45618.57387,1732283183,,1
3097992,45618.57387,1732283183,2,
3097994,45618.57387,1732283183,,1
3099511,45618.57447,1732283234,1,
3099513,45618.57447,1732283234,,1
3288715,45617.48602,1732189192,2,
3288717,45617.48602,1732189192,2,
3288719,45617.48602,1732189192,,1
3288721,45617.48602,1732189192,,1
3290041,45617.48604,1732189194,2,
3290043,45617.48604,1732189194,,1
3290045,45617.48604,1732189194,2,
3290047,45617.48604,1732189194,,1
3290049,45617.48604,1732189194,2,
3290051,45617.48604,1732189194,,1
3291181,45617.48656,1732189239,1,
3291183,45617.48656,1732189239,,1
3594098,45618.39274,1732267533,2,
3594100,45618.39274,1732267533,2,
3594102,45618.39274,1732267533,,1
3594104,45618.39274,1732267533,,1
3595436,45618.39276,1732267535,2,
3595438,45618.39276,1732267535,,1
3595498,45618.39276,1732267535,2,
3595500,45618.39276,1732267535,,1
3595502,45618.39276,1732267535,2,
3595504,45618.39276,1732267535,,1
3596640,45618.39325,1732267577,1,
3596642,45618.39325,1732267577,,1
3709411,45618.57385,1732283181,2,
3709413,45618.57385,1732283181,2,
3709415,45618.57385,1732283181,,1
3709417,45618.57385,1732283181,,1
3710742,45618.57387,1732283183,2,
3710744,45618.57387,1732283183,,1
3710746,45618.57387,1732283183,2,
3710748,45618.57387,1732283183,,1
3710750,45618.57387,1732283183,2,
3710752,45618.57387,1732283183,,1
3712261,45618.57447,1732283234,1,
3712263,45618.57447,1732283234,,1
3899989,45619.24931,1732341541,2,
3899991,45619.24931,1732341541,2,
3899993,45619.24931,1732341541,,1
3899995,45619.24931,1732341541,,1
3901312,45619.24934,1732341543,2,
3901314,45619.24934,1732341543,,1
3901316,45619.24934,1732341543,2,
3901318,45619.24934,1732341543,,1
3901320,45619.24934,1732341543,2,
3901322,45619.24934,1732341543,,1
3902427,45619.24983,1732341585,1,
3902429,45619.24983,1732341585,,1
4707497,45620.64189,1732461859,2,
4707499,45620.64189,1732461859,2,
4707501,45620.64189,1732461859,,1
4707503,45620.64189,1732461859,,1
4708820,45620.64191,1732461861,2,
4708822,45620.64191,1732461861,,1
4708824,45620.64191,1732461861,2,
4708826,45620.64191,1732461861,,1
4708828,45620.64191,1732461861,2,
4708830,45620.64191,1732461861,,1
4710428,45620.64238,1732461901,1,
4710430,45620.64238,1732461901,,1
4922249,45619.24931,1732341541,2,
4922251,45619.24931,1732341541,2,
4922253,45619.24931,1732341541,,1
4922255,45619.24931,1732341541,,1
4923572,45619.24934,1732341543,2,
4923574,45619.24934,1732341543,,1
4923576,45619.24934,1732341543,2,
4923578,45619.24934,1732341543,,1
4923580,45619.24934,1732341543,2,
4923582,45619.24934,1732341543,,1
4924687,45619.24983,1732341585,1,
4924689,45619.24983,1732341585,,1
5729026,45620.64189,1732461859,2,
5729028,45620.64189,1732461859,2,
5729030,45620.64189,1732461859,,1
5729032,45620.64189,1732461859,,1
5730349,45620.64191,1732461861,2,
5730351,45620.64191,1732461861,,1
5730353,45620.64191,1732461861,2,
5730355,45620.64191,1732461861,,1
5730357,45620.64191,1732461861,2,
5730359,45620.64191,1732461861,,1
5731957,45620.64238,1732461901,1,
5731959,45620.64238,1732461901,,1
5838089,45620.78887,1732474559,2,
5838091,45620.78887,1732474559,2,
5838093,45620.78887,1732474559,,1
5838095,45620.78887,1732474559,,1
5839429,45620.7889,1732474561,2,
5839431,45620.7889,1732474561,,1
5839433,45620.7889,1732474561,2,
5839435,45620.7889,1732474561,,1
5839437,45620.7889,1732474561,2,
5839439,45620.7889,1732474561,,1
5840571,45620.78938,1732474602,1,
5840573,45620.78938,1732474602,,1
5978283,45619.24931,1732341541,2,
5978285,45619.24931,1732341541,2,
5978287,45619.24931,1732341541,,1
5978289,45619.24931,1732341541,,1
5979606,45619.24934,1732341543,2,
5979608,45619.24934,1732341543,,1
5979610,45619.24934,1732341543,2,
5979612,45619.24934,1732341543,,1
5979614,45619.24934,1732341543,2,
5979616,45619.24934,1732341543,,1
5980721,45619.24983,1732341585,1,
5980723,45619.24983,1732341585,,1
6785060,45620.64189,1732461859,2,
6785062,45620.64189,1732461859,2,
6785064,45620.64189,1732461859,,1
6785066,45620.64189,1732461859,,1
6786383,45620.64191,1732461861,2,
6786385,45620.64191,1732461861,,1
6786387,45620.64191,1732461861,2,
6786389,45620.64191,1732461861,,1
6786391,45620.64191,1732461861,2,
6786393,45620.64191,1732461861,,1
6787991,45620.64238,1732461901,1,
6787993,45620.64238,1732461901,,1
6894123,45620.78887,1732474559,2,
6894125,45620.78887,1732474559,2,
6894127,45620.78887,1732474559,,1
6894129,45620.78887,1732474559,,1
6895463,45620.7889,1732474561,2,
6895465,45620.7889,1732474561,,1
6895467,45620.7889,1732474561,2,
6895469,45620.7889,1732474561,,1
6895471,45620.7889,1732474561,2,
6895473,45620.7889,1732474561,,1
6896605,45620.78938,1732474602,1,
6896607,45620.78938,1732474602,,1
6931653,45620.83562,1732478598,2,
6931655,45620.83562,1732478598,2,
6931657,45620.83562,1732478598,,1
6931659,45620.83562,1732478598,,1
6932978,45620.83565,1732478600,2,
6932980,45620.83565,1732478600,,1
6932982,45620.83565,1732478600,2,
6932984,45620.83565,1732478600,,1
6932986,45620.83565,1732478600,2,
6932988,45620.83565,1732478600,,1
6934596,45620.8363,1732478656,1,
6934598,45620.8363,1732478656,,1
6984156,45619.24931,1732341541,2,
6984158,45619.24931,1732341541,2,
6984160,45619.24931,1732341541,,1
6984162,45619.24931,1732341541,,1
6985479,45619.24934,1732341543,2,
6985481,45619.24934,1732341543,,1
6985483,45619.24934,1732341543,2,
6985485,45619.24934,1732341543,,1
6985487,45619.24934,1732341543,2,
6985489,45619.24934,1732341543,,1
6986594,45619.24983,1732341585,1,
6986596,45619.24983,1732341585,,1
7790933,45620.64189,1732461859,2,
7790935,45620.64189,1732461859,2,
7790937,45620.64189,1732461859,,1
7790939,45620.64189,1732461859,,1
7792256,45620.64191,1732461861,2,
7792258,45620.64191,1732461861,,1
7792260,45620.64191,1732461861,2,
7792262,45620.64191,1732461861,,1
7792264,45620.64191,1732461861,2,
7792266,45620.64191,1732461861,,1
7793864,45620.64238,1732461901,1,
7793866,45620.64238,1732461901,,1
7899996,45620.78887,1732474559,2,
7899998,45620.78887,1732474559,2,
7900000,45620.78887,1732474559,,1
7900002,45620.78887,1732474559,,1
7901336,45620.7889,1732474561,2,
7901338,45620.7889,1732474561,,1
7901340,45620.7889,1732474561,2,
7901342,45620.7889,1732474561,,1
7901344,45620.7889,1732474561,2,
7901346,45620.7889,1732474561,,1
7902478,45620.78938,1732474602,1,
7902480,45620.78938,1732474602,,1
7937526,45620.83562,1732478598,2,
7937528,45620.83562,1732478598,2,
7937530,45620.83562,1732478598,,1
7937532,45620.83562,1732478598,,1
7938851,45620.83565,1732478600,2,
7938853,45620.83565,1732478600,,1
7938855,45620.83565,1732478600,2,
7938857,45620.83565,1732478600,,1
7938859,45620.83565,1732478600,2,
7938861,45620.83565,1732478600,,1
7940461,45620.8363,1732478656,1,
7940463,45620.8363,1732478656,,1
7988128,45621.30153,1732518853,2,
7988130,45621.30153,1732518853,2,
7988132,45621.30153,1732518853,,1
7988134,45621.30153,1732518853,,1
7989452,45621.30156,1732518855,2,
7989454,45621.30156,1732518855,,1
7989456,45621.30156,1732518855,2,
7989458,45621.30156,1732518855,,1
7989460,45621.30156,1732518855,2,
7989462,45621.30156,1732518855,,1
7990576,45621.30204,1732518896,1,
7990578,45621.30204,1732518896,,1
8014847,45621.32844,1732521178,2,
8014849,45621.32844,1732521178,2,
8014851,45621.32844,1732521178,,1
8014853,45621.32844,1732521178,,1
8016177,45621.32847,1732521180,2,
8016179,45621.32847,1732521180,,1
8016181,45621.32847,1732521180,2,
8016183,45621.32847,1732521180,,1
8016185,45621.32847,1732521180,2,
8016187,45621.32847,1732521180,,1
8017178,45621.32895,1732521221,1,
8017180,45621.32895,1732521221,,1
8706495,45620.64189,1732461859,2,
8706497,45620.64189,1732461859,2,
8706499,45620.64189,1732461859,,1
8706501,45620.64189,1732461859,,1
8707818,45620.64191,1732461861,2,
8707820,45620.64191,1732461861,,1
8707822,45620.64191,1732461861,2,
8707824,45620.64191,1732461861,,1
8707826,45620.64191,1732461861,2,
8707828,45620.64191,1732461861,,1
8709426,45620.64238,1732461901,1,
8709428,45620.64238,1732461901,,1
8815558,45620.78887,1732474559,2,
8815560,45620.78887,1732474559,2,
8815562,45620.78887,1732474559,,1
8815564,45620.78887,1732474559,,1
8816898,45620.7889,1732474561,2,
8816900,45620.7889,1732474561,,1
8816902,45620.7889,1732474561,2,
8816904,45620.7889,1732474561,,1
8816906,45620.7889,1732474561,2,
8816908,45620.7889,1732474561,,1
8818040,45620.78938,1732474602,1,
8818042,45620.78938,1732474602,,1
8853088,45620.83562,1732478598,2,
8853090,45620.83562,1732478598,2,
8853092,45620.83562,1732478598,,1
8853094,45620.83562,1732478598,,1
8854413,45620.83565,1732478600,2,
8854415,45620.83565,1732478600,,1
8854417,45620.83565,1732478600,2,
8854419,45620.83565,1732478600,,1
8854421,45620.83565,1732478600,2,
8854423,45620.83565,1732478600,,1
8856023,45620.8363,1732478656,1,
8856025,45620.8363,1732478656,,1
8903690,45621.30153,1732518853,2,
8903692,45621.30153,1732518853,2,
8903694,45621.30153,1732518853,,1
8903696,45621.30153,1732518853,,1
8905014,45621.30156,1732518855,2,
8905016,45621.30156,1732518855,,1
8905018,45621.30156,1732518855,2,
8905020,45621.30156,1732518855,,1
8905022,45621.30156,1732518855,2,
8905024,45621.30156,1732518855,,1
8906138,45621.30204,1732518896,1,
8906140,45621.30204,1732518896,,1
8930476,45621.32844,1732521178,2,
8930478,45621.32844,1732521178,2,
8930480,45621.32844,1732521178,,1
8930482,45621.32844,1732521178,,1
8931806,45621.32847,1732521180,2,
8931808,45621.32847,1732521180,,1
8931810,45621.32847,1732521180,2,
8931812,45621.32847,1732521180,,1
8931814,45621.32847,1732521180,2,
8931816,45621.32847,1732521180,,1
8932806,45621.32895,1732521221,1,
8932808,45621.32895,1732521221,,1
9181734,45621.54759,1732540112,2,
9181736,45621.54759,1732540112,2,
9181738,45621.54759,1732540112,,1
9181740,45621.54759,1732540112,,1
9183097,45621.54761,1732540114,2,
9183099,45621.54761,1732540114,,1
9183117,45621.54761,1732540114,2,
9183119,45621.54761,1732540114,,1
9183121,45621.54761,1732540114,2,
9183123,45621.54761,1732540114,,1
9184914,45621.54808,1732540154,1,
9184916,45621.54808,1732540154,,1
9237443,45621.5695,1732542005,2,
9237445,45621.5695,1732542005,2,
9237447,45621.5695,1732542005,,1
9237449,45621.5695,1732542005,,1
9238766,45621.56952,1732542006,2,
9238768,45621.56952,1732542006,,1
9238770,45621.56952,1732542006,2,
9238772,45621.56952,1732542006,,1
9238780,45621.56952,1732542006,2,
9238782,45621.56952,1732542006,,1
9240707,45621.56999,1732542047,1,
9240709,45621.56999,1732542047,,1
10835795,45621.30153,1732518853,2,
10835797,45621.30153,1732518853,2,
10835799,45621.30153,1732518853,,1
10835801,45621.30153,1732518853,,1
